iter	Passed	Remaining
893	1217	144
894	1218	142
895	1220	141
896	1221	140
897	1222	138
898	1223	137
899	1224	136
900	1226	134
901	1227	133
902	1228	131
903	1229	130
904	1230	129
905	1231	127
906	1233	126
907	1234	125
908	1235	123
909	1236	122
910	1238	120
911	1239	119
912	1240	118
913	1241	116
914	1242	115
915	1243	114
916	1244	112
917	1246	111
918	1247	109
919	1248	108
920	1250	107
921	1251	105
922	1252	104
923	1253	103
924	1254	101
925	1256	100
926	1257	99
927	1258	97
928	1259	96
929	1260	94
930	1262	93
931	1263	92
932	1264	90
933	1265	89
934	1267	88
935	1268	86
936	1269	85
937	1270	84
938	1272	82
939	1273	81
940	1274	79
941	1275	78
942	1276	77
943	1277	75
944	1278	74
945	1279	73
946	1281	71
947	1282	70
948	1283	68
949	1284	67
950	1285	66
951	1286	64
952	1287	63
953	1288	62
954	1289	60
955	1290	59
956	1291	58
957	1293	56
958	1294	55
959	1295	53
960	1296	52
961	1297	51
962	1298	49
963	1299	48
964	1300	47
965	1302	45
966	1303	44
967	1305	43
968	1306	41
969	1307	40
970	1309	39
971	1310	37
972	1311	36
973	1312	35
974	1313	33
975	1315	32
976	1316	30
977	1317	29
978	1318	28
979	1319	26
980	1321	25
981	1322	24
982	1323	22
983	1325	21
984	1326	20
985	1327	18
986	1328	17
987	1329	16
988	1330	14
989	1331	13
990	1333	12
991	1334	10
992	1335	9
993	1336	8
994	1338	6
995	1339	5
996	1340	4
997	1341	2
998	1342	1
999	1343	0
